gene_id,gut_r1,gut_r2,gut_r3,duct_r1,duct_r2,duct_r3
ENSMUSG00000078815,0.0,6.22,6.23,11.76,29.93,28.7
ENSMUSG00000078812,25326.86,27869.61,23690.65,23137.0,25107.32,34811.53
ENSMUSG00000078813,221.08,240.97,286.41,354.47,375.59,344.38
ENSMUSG00000078810,0.0,0.0,0.0,3.14,0.0,0.0
ENSMUSG00000099759,0.0,3.11,2.77,3.14,13.52,0.0
ENSMUSG00000110894,0.93,0.78,2.77,3.92,10.62,8.31
ENSMUSG00000048787,273.8,131.37,151.51,75.29,181.52,160.11
ENSMUSG00000099757,207.2,277.51,205.47,149.79,210.48,242.43
ENSMUSG00000027405,3333.75,3857.11,3553.87,3830.16,3940.28,4350.12
ENSMUSG00000050295,7.4,16.32,4.15,17.25,6.76,27.19
ENSMUSG00000027404,7056.0,8428.59,7457.12,7500.33,9895.59,12211.3
ENSMUSG00000093507,0.93,2.33,6.23,1.57,5.79,0.0
ENSMUSG00000050299,201.65,263.51,223.46,257.23,483.72,643.46
ENSMUSG00000027406,2617.79,2512.33,2082.38,2529.91,2560.55,2502.07
ENSMUSG00000027401,0.0,1.55,0.0,3.92,2.9,0.0
ENSMUSG00000027400,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000027403,4.63,0.78,0.0,0.0,0.0,0.0
ENSMUSG00000038299,1628.95,1283.37,1244.58,835.98,466.34,404.8
ENSMUSG00000041133,2836.09,2914.21,3059.22,2190.34,1831.59,2607.81
ENSMUSG00000041132,3196.85,2970.95,3286.14,7210.95,6561.66,4907.48
ENSMUSG00000041135,915.76,820.08,755.47,1090.07,1139.31,441.05
ENSMUSG00000016921,5032.07,5099.28,5365.75,4984.54,5970.76,6225.35
ENSMUSG00000027408,12.95,12.44,2.08,26.66,6.76,8.31
ENSMUSG00000014402,2782.44,2629.71,2431.74,2248.37,2540.28,2510.38
ENSMUSG00000058603,35.15,55.19,48.43,32.94,57.93,95.16
ENSMUSG00000064927,0.0,0.78,0.69,0.78,13.52,22.66
ENSMUSG00000064925,0.0,3.11,0.69,2.35,0.0,6.8
ENSMUSG00000055401,1237.67,1284.15,1097.92,1170.06,1602.76,1280.87
ENSMUSG00000050439,26.83,12.44,26.29,2.35,0.97,0.0
ENSMUSG00000115553,0.0,1.55,0.0,0.78,3.86,4.53
ENSMUSG00000115555,0.0,2.33,4.15,7.84,0.97,9.06
ENSMUSG00000115554,0.0,0.0,0.0,1.57,7.72,0.0
ENSMUSG00000041278,1562.35,1378.98,1167.1,1465.72,1730.21,1687.18
ENSMUSG00000057054,13.88,21.77,35.28,29.02,14.48,18.13
ENSMUSG00000109165,0.0,2.33,0.0,0.0,0.0,9.06
ENSMUSG00000109167,0.93,3.11,2.77,0.78,0.0,0.0
ENSMUSG00000043415,169.28,247.97,174.34,563.07,622.76,422.17
ENSMUSG00000113861,0.93,3.89,2.77,3.14,2.9,0.76
ENSMUSG00000113865,0.93,0.0,2.08,1.57,0.97,4.53
ENSMUSG00000113864,13.88,0.0,4.84,0.0,0.0,1.51
ENSMUSG00000113869,0.93,3.11,4.15,0.0,0.0,0.76
ENSMUSG00000043284,861.19,884.6,698.05,859.51,1072.69,1297.48
ENSMUSG00000040774,1492.05,1284.93,1508.86,1134.77,1169.24,1321.65
ENSMUSG00000094993,2.78,189.67,2.77,0.0,304.14,83.83
ENSMUSG00000056174,26.83,10.88,15.91,8.63,23.17,45.31
ENSMUSG00000109257,0.0,0.0,0.0,21.17,11.59,30.21
ENSMUSG00000113275,1.85,0.0,0.0,1.57,1.93,0.76
ENSMUSG00000105804,69.38,20.21,49.12,32.94,8.69,30.21
ENSMUSG00000105801,197.95,164.02,287.8,58.03,89.79,182.77
ENSMUSG00000057802,22.2,10.88,7.61,9.41,0.0,17.37
ENSMUSG00000012126,120.25,134.48,159.81,351.33,364.0,390.45
ENSMUSG00000012123,38.85,22.54,3.46,40.0,77.24,39.27
ENSMUSG00000025269,209.98,233.98,240.75,199.98,210.48,250.74
ENSMUSG00000025268,95.28,68.41,86.48,120.77,101.38,46.82
ENSMUSG00000025266,920.39,889.27,534.08,514.45,229.79,263.57
ENSMUSG00000025265,147.08,194.33,168.11,14.12,4.83,12.84
ENSMUSG00000025264,506.91,391.77,431.0,423.48,473.1,501.47
ENSMUSG00000025262,67.53,38.87,51.19,40.0,67.59,14.35
ENSMUSG00000025261,2806.49,2363.86,2090.68,2438.16,2819.31,2425.8
ENSMUSG00000025260,553.16,770.33,568.68,654.83,854.48,1220.45
ENSMUSG00000091123,0.93,0.78,1.38,4.71,4.83,4.53
ENSMUSG00000094338,1.85,3.11,0.69,1.57,0.0,1.51
ENSMUSG00000048439,288.6,307.05,262.2,188.21,166.07,155.58
ENSMUSG00000060131,1966.58,1483.15,2307.91,392.11,520.41,315.69
ENSMUSG00000065327,0.0,1.55,0.0,9.41,5.79,11.33
ENSMUSG00000047205,69.38,55.19,134.21,134.89,91.72,227.32
ENSMUSG00000001281,14529.18,16461.52,15227.63,10319.62,7540.69,6141.52
ENSMUSG00000097979,12.03,14.77,8.99,7.84,11.59,13.59
ENSMUSG00000097973,0.93,0.0,2.08,0.78,0.0,2.27
ENSMUSG00000054079,2292.18,1923.89,2126.65,1989.58,2607.86,1835.21
ENSMUSG00000067786,1.85,5.44,10.38,3.14,1.93,12.08
ENSMUSG00000067787,294.15,306.27,290.56,545.04,669.1,533.95
ENSMUSG00000097974,0.0,0.0,0.0,3.14,0.0,0.0
ENSMUSG00000053279,20.35,34.2,11.07,1.57,4.83,62.68
ENSMUSG00000001280,746.49,698.82,704.96,542.68,868.97,473.53
ENSMUSG00000109836,7.4,33.43,1.38,34.51,14.48,16.62
ENSMUSG00000068324,1.85,3.89,2.77,1.57,3.86,5.29
ENSMUSG00000068327,0.0,0.78,0.0,5.49,20.28,6.04
ENSMUSG00000068323,5.55,20.21,13.84,6.27,20.28,6.8
ENSMUSG00000068329,1649.3,1769.2,1600.87,4041.9,5906.07,3132.69
ENSMUSG00000068328,4333.69,4490.63,4126.01,6470.64,8164.42,6192.88
ENSMUSG00000110079,0.0,2.33,0.69,3.14,0.0,4.53
ENSMUSG00000106386,0.0,0.0,0.0,0.0,0.0,10.57
ENSMUSG00000106387,3.7,3.89,38.74,3.14,11.59,115.55
ENSMUSG00000106383,11.1,10.88,20.06,8.63,29.93,33.23
ENSMUSG00000064492,5.55,3.89,6.23,2.35,0.0,0.0
ENSMUSG00000063442,0.93,2.33,2.77,0.78,0.97,3.02
ENSMUSG00000076940,327.45,56.75,8.99,1013.22,757.93,1157.01
ENSMUSG00000066595,1162.74,706.59,734.02,2942.41,2395.45,2567.78
ENSMUSG00000070522,0.0,1.55,3.46,0.78,0.97,2.27
ENSMUSG00000046997,6.48,0.0,0.0,0.0,0.0,4.53
ENSMUSG00000100975,10.18,16.32,15.91,47.84,142.9,136.7
ENSMUSG00000092474,0.0,0.78,7.61,0.78,0.0,0.0
ENSMUSG00000092470,0.0,2.33,1.38,0.0,0.0,7.55
ENSMUSG00000066592,12.95,18.66,11.07,16.47,43.45,40.78
ENSMUSG00000019935,0.93,0.0,0.0,2.35,9.66,2.27
ENSMUSG00000019936,1.85,0.78,0.0,0.0,0.97,0.0
ENSMUSG00000103778,0.0,4.66,0.0,6.27,4.83,3.02
ENSMUSG00000091537,1139.62,1384.42,1206.53,2174.66,3160.14,4912.01
ENSMUSG00000020346,1551.25,1790.97,1850.62,2369.14,2150.21,1696.24
ENSMUSG00000103772,45.33,95.61,60.88,35.29,20.28,19.64
ENSMUSG00000070462,425.51,506.04,469.75,475.24,363.03,533.95
ENSMUSG00000070461,25.9,51.3,56.73,8.63,23.17,12.08
ENSMUSG00000107477,0.0,0.0,0.0,1.57,0.0,3.78
ENSMUSG00000107476,55.5,47.42,25.6,88.62,94.62,110.26
ENSMUSG00000107470,16.65,17.1,15.22,41.56,31.86,73.26
ENSMUSG00000107472,0.93,0.0,5.53,0.0,0.0,0.0
ENSMUSG00000054728,6.48,5.44,5.53,2.35,8.69,2.27
ENSMUSG00000054723,84.18,115.04,90.63,117.63,140.0,133.68
ENSMUSG00000054720,3849.91,3055.68,3886.64,3570.58,3278.9,2446.94
ENSMUSG00000054727,42.55,42.75,29.06,0.0,0.0,0.0
ENSMUSG00000036745,0.93,3.11,28.36,0.0,0.0,1.51
ENSMUSG00000036748,1166.44,1434.95,1314.46,1899.39,2115.45,2242.28
ENSMUSG00000079800,0.93,8.55,2.77,17.25,15.45,18.88
ENSMUSG00000113035,365.38,272.84,408.17,323.1,209.52,378.37
ENSMUSG00000113036,13.88,13.99,11.07,25.1,17.38,24.17
ENSMUSG00000062797,341.33,494.38,393.64,652.48,777.24,1218.18
ENSMUSG00000062794,72.15,94.83,105.85,68.23,81.1,27.19
ENSMUSG00000062421,3403.12,3171.51,2705.7,5281.76,5770.9,3484.63
ENSMUSG00000116535,0.93,0.78,0.69,0.78,0.0,0.76
ENSMUSG00000024601,2931.37,2339.76,2452.5,2237.39,1984.14,2226.42
ENSMUSG00000019066,643.81,569.78,621.95,586.6,503.03,444.83
ENSMUSG00000079808,42.55,20.99,24.21,47.05,37.66,47.58
ENSMUSG00000042377,9.25,14.77,27.67,23.53,28.97,11.33
ENSMUSG00000101731,0.93,6.22,2.08,3.92,5.79,0.76
ENSMUSG00000055897,154.48,254.19,258.05,294.08,460.55,305.11
ENSMUSG00000055895,1.85,2.33,7.61,0.78,0.0,0.0
ENSMUSG00000060491,0.0,0.0,0.0,0.78,0.0,0.0
ENSMUSG00000097154,90.65,81.62,108.62,72.15,112.97,141.98
ENSMUSG00000097155,0.0,11.66,2.77,2.35,0.97,5.29
ENSMUSG00000097156,0.0,0.78,0.0,27.45,42.48,6.04
ENSMUSG00000097150,0.0,8.55,8.99,5.49,0.97,0.0
ENSMUSG00000097151,19.43,0.0,8.3,6.27,0.97,1.51
ENSMUSG00000097152,0.0,1.55,2.77,3.14,0.0,0.0
ENSMUSG00000097158,3.7,8.55,6.92,4.71,14.48,6.04
ENSMUSG00000097159,2.78,5.44,4.15,5.49,8.69,0.76
ENSMUSG00000112341,5.55,3.89,3.46,1.57,6.76,5.29
ENSMUSG00000112347,0.0,0.0,5.53,0.78,24.14,0.0
ENSMUSG00000112346,32.38,22.54,8.99,16.47,27.03,22.66
ENSMUSG00000112348,0.0,0.0,0.0,3.14,0.0,12.08
ENSMUSG00000031916,877.84,995.76,1242.51,1413.96,1164.41,844.35
ENSMUSG00000031917,1171.07,1032.29,1297.85,1025.77,1137.38,1228.76
ENSMUSG00000031910,1.85,0.78,2.77,0.0,0.0,0.0
ENSMUSG00000031913,1104.47,989.54,813.58,993.61,666.21,853.41
ENSMUSG00000038637,98.05,142.25,166.73,109.79,150.62,147.27
ENSMUSG00000038633,5842.38,5270.3,5944.8,3031.81,3978.9,3840.34
ENSMUSG00000030359,0.93,0.0,0.0,7.06,0.0,180.5
ENSMUSG00000030357,2736.19,2849.69,2260.17,3431.77,2553.79,2499.81
ENSMUSG00000030351,5.55,2.33,3.46,0.0,3.86,5.29
ENSMUSG00000030353,0.0,3.11,0.0,0.0,0.0,0.76
ENSMUSG00000030352,665.08,572.89,830.87,307.42,144.83,328.52
ENSMUSG00000104818,3.7,2.33,5.53,4.71,5.79,8.31
ENSMUSG00000104814,37.93,31.09,45.66,39.21,58.9,11.33
ENSMUSG00000001627,55274.17,32826.64,30980.34,29125.34,34609.94,20741.61
ENSMUSG00000073460,14.8,3.89,0.0,9.41,1.93,5.29
ENSMUSG00000073468,2389.31,2897.89,2420.67,1593.55,2416.69,2271.73
ENSMUSG00000049690,8.33,0.0,0.69,0.0,0.0,0.0
ENSMUSG00000035329,889.86,1022.97,875.15,1020.28,1164.41,897.97
ENSMUSG00000035325,3144.12,2916.54,3432.11,2354.24,2138.62,1558.79
ENSMUSG00000026950,0.93,15.55,19.37,11.76,15.45,6.8
ENSMUSG00000075704,588.31,645.96,660.0,407.8,485.66,366.29
ENSMUSG00000075706,1596.57,1730.34,1582.88,3911.72,5613.52,6244.99
ENSMUSG00000075701,2394.86,2381.74,2316.9,5154.71,4367.04,7962.38
ENSMUSG00000026955,231.25,359.9,285.03,743.45,418.07,678.2
ENSMUSG00000026956,595.71,688.71,778.3,1411.61,2048.83,1603.35
ENSMUSG00000075702,117.48,160.91,121.76,436.81,676.83,964.43
ENSMUSG00000026958,703.01,598.54,772.07,877.55,1331.45,641.19
ENSMUSG00000026959,15.73,8.55,3.46,0.0,1.93,10.57
ENSMUSG00000043068,18.5,17.1,24.91,277.62,442.21,314.18
ENSMUSG00000043061,307.1,296.16,357.67,501.12,461.52,387.43
ENSMUSG00000043065,158.18,302.38,186.1,246.25,150.62,74.77
ENSMUSG00000043067,8315.87,6839.73,7527.68,2747.93,2397.38,1817.84
ENSMUSG00000022257,198.88,235.53,334.15,924.6,1081.38,1078.47
ENSMUSG00000029287,18.5,61.41,60.19,45.49,10.62,68.73
ENSMUSG00000029286,22.2,10.88,3.46,21.96,5.79,9.06
ENSMUSG00000029283,470.83,400.32,576.29,565.43,208.55,246.96
ENSMUSG00000031007,9365.76,7019.29,7490.32,6655.72,5905.11,7303.07
ENSMUSG00000068860,11.1,9.33,8.3,9.41,17.38,9.06
ENSMUSG00000097971,55281.57,53976.23,35649.43,31601.92,21069.52,27988.03
ENSMUSG00000039656,2800.02,3873.43,2951.99,2646.76,3617.79,1360.17
ENSMUSG00000062328,3858.23,4320.4,3457.02,3325.9,4697.24,6174.75
ENSMUSG00000017288,1252.47,1209.53,1203.76,808.54,867.03,728.04
ENSMUSG00000028882,795.51,852.73,746.47,1001.46,856.41,934.22
ENSMUSG00000034639,25.9,55.97,65.03,61.17,72.41,24.17
ENSMUSG00000028884,999.01,898.59,1122.13,1578.65,859.31,1749.11
ENSMUSG00000028885,319.13,394.88,379.81,385.05,246.21,308.89
ENSMUSG00000028886,413.48,527.81,391.57,738.74,497.24,538.48
ENSMUSG00000088217,0.93,0.78,0.69,1.57,0.0,2.27
ENSMUSG00000028889,2183.03,2433.04,2159.17,1906.45,2633.93,2536.06
ENSMUSG00000102411,4.63,8.55,12.45,11.76,28.0,0.76
ENSMUSG00000102413,5.55,6.22,4.15,0.0,4.83,0.0
ENSMUSG00000102415,5.55,13.99,0.0,2.35,0.0,3.02
ENSMUSG00000102416,6.48,3.11,3.46,7.06,27.03,6.8
ENSMUSG00000102418,948.14,1124.02,1090.31,381.13,361.1,385.92
ENSMUSG00000102419,0.93,0.78,7.61,0.0,0.0,0.76
ENSMUSG00000029422,2883.27,2841.14,3165.07,2700.87,2660.0,3064.72
ENSMUSG00000029427,1086.89,1023.74,1351.12,994.4,679.72,800.54
ENSMUSG00000029426,1714.97,1808.85,1681.12,2402.87,3269.24,1984.74
ENSMUSG00000029428,2337.51,2012.51,2082.38,451.71,618.9,361.0
ENSMUSG00000079737,502.28,622.64,655.15,338.0,519.45,139.72
ENSMUSG00000035585,228.48,356.02,260.12,569.35,638.21,518.84
ENSMUSG00000025701,94.35,136.03,113.46,45.49,32.83,43.05
ENSMUSG00000025702,96.2,31.87,73.33,129.4,129.38,75.52
ENSMUSG00000034987,556.86,488.16,537.54,79.21,115.86,27.94
ENSMUSG00000034981,0.0,3.89,0.0,29.02,39.59,58.15
ENSMUSG00000021635,604.03,516.15,761.69,535.63,468.28,491.65
ENSMUSG00000021636,427.36,625.75,515.41,202.33,105.24,260.55
ENSMUSG00000032679,19.43,10.88,21.45,10.98,0.0,49.09
ENSMUSG00000021638,196.1,190.45,182.64,47.05,36.69,3.78
ENSMUSG00000032673,176.68,160.13,195.78,326.24,386.21,473.53
ENSMUSG00000032586,327.45,496.71,628.86,407.8,214.34,378.37
ENSMUSG00000074151,1138.69,761.01,1095.15,3136.9,3233.52,2125.21
ENSMUSG00000032582,2007.28,1651.83,1649.3,1565.31,1000.28,609.47
ENSMUSG00000074158,6.48,8.55,26.29,3.92,1.93,0.0
ENSMUSG00000032589,24.05,8.55,11.76,36.07,5.79,31.72
ENSMUSG00000045055,23.13,38.87,32.52,36.07,63.72,52.87
ENSMUSG00000045053,9.25,31.87,16.6,106.65,50.21,0.0
ENSMUSG00000114588,0.93,4.66,0.0,4.71,2.9,3.02
ENSMUSG00000114581,1.85,1.55,3.46,1.57,0.97,3.78
ENSMUSG00000114585,13.88,18.66,15.22,17.25,43.45,76.28
ENSMUSG00000114584,7.4,14.77,8.99,18.82,17.38,17.37
ENSMUSG00000030880,844.54,753.23,864.77,403.09,242.34,243.18
ENSMUSG00000017309,154.48,183.45,215.85,122.34,198.9,145.76
ENSMUSG00000087294,1.85,3.89,0.0,12.55,10.62,0.76
ENSMUSG00000030882,4.63,22.54,6.92,26.66,4.83,5.29
ENSMUSG00000087293,1.85,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000033985,85.1,135.26,107.23,244.68,193.1,127.63
ENSMUSG00000033987,37.0,101.05,91.32,21.17,52.14,16.62
ENSMUSG00000087298,46.25,21.77,20.75,27.45,54.07,56.64
ENSMUSG00000030887,0.0,0.0,1.38,0.78,0.0,2.27
ENSMUSG00000007338,444.01,635.08,630.94,505.83,646.9,808.85
ENSMUSG00000086527,2.78,0.0,11.76,0.0,7.72,0.0
ENSMUSG00000044098,319.13,383.22,469.75,495.63,467.31,533.19
ENSMUSG00000086522,0.93,6.22,2.08,3.92,12.55,0.76
ENSMUSG00000054920,1777.88,1606.74,1771.06,1631.97,1469.52,934.97
